ID pot,Time (days),Initial CO2 (ppm),Final CO2 (ppm),Time final (h)
6,7,546.312054549882,2158.81895036558,22.86
6,14,494.429616724739,1871.17842888819,25.2
6,21,500.971134282808,1923.29302202643,25.26
6,35,532.797351156306,1522.62847301952,24.14
6,49,547.539786780384,1668.88447761194,24.43
6,63,538.19632268248,1632.88895524935,24.21
6,77,575.913322019516,1124.114806958,22.82
6,91,591.109740555303,1727.46827492035,24.73
6,105,449.18740292651,1474.09260340227,26.13
18,7,543.39397678383,2603.32227221597,22.86
18,14,538.513525498891,1612.65559075071,25.2
18,21,518.788936927772,2216.81692511013,25.26
18,35,584.731351484337,2356.52424963097,24.14
18,49,495.041108742004,2160.29049040512,24.43
18,63,513.551384326607,2013.95286037285,24.21
18,77,579.494526941027,1684.3626644039,22.82
18,91,570.669048702776,2029.51247155212,24.73
18,105,452.315458186872,1640.47673448966,26.13
55,7,690.779235327543,3288.90547665917,22.86
55,14,491.531042128603,2492.81026290782,25.2
55,21,485.545744320109,2887.74415859031,25.26
55,35,580.305289486633,2571.47051828768,24.14
55,49,556.752324093817,1488.78690831557,24.43
55,63,559.227166076533,1861.1224350497,24.21
55,77,594.735341535851,1725.87679253288,22.82
55,91,551.02375967228,2054.87141556668,24.73
55,105,443.166230687485,1679.85907271514,26.13
20,7,536.856936439646,2809.30991633858,22.86
20,14,489.43428888185,2346.96387393095,25.2
20,21,487.343870803662,1938.74484581498,25.26
20,35,579.227857962933,2133.37465146793,24.14
20,49,519.61855010661,1985.56102345416,24.43
20,63,507.471054989122,1771.30199223583,24.21
20,77,584.337802291048,1889.04891811625,22.82
20,91,582.314519799727,2349.86117432863,24.73
20,105,460.532167089022,1828.42386591061,26.13
53,7,533.546959980518,981.76571287964,22.86
53,14,476.457348748812,854.248970541653,25.2
53,21,478.255891827738,800.575621145375,25.26
53,35,517.910603575529,819.422478268001,24.14
53,49,503.513646055437,760.897398720682,24.43
53,63,575.93293801459,806.084979309757,24.21
53,77,577.058845990666,809.383495969453,22.82
53,91,552.150341374602,836.104050978607,24.73
53,105,484.370677675141,654.713475650434,26.13
56,7,562.874389154964,733.677182930259,22.86
56,14,487.198637947419,591.406651884701,25.2
56,21,491.119472702611,552.253242290749,25.26
