Sample;Location;Deph(cm);0_30_ID;Site age;Repetition;Bulk density(kg m-3);pHCaCl2;Sand carbon (%);Carbone(%) ;Sulfur(%);Nitrogen(%);C stock(kg m-3) ;total porosity;WFPS(70%)
1;Site A9;[0-10];A;14;1;925,8;3,8;0,3;1,8;0,07;0,08;16,6644;0,7;0,5
2;Site A9;[10-20];A;14;1;1238,8;4;0,3;1,1;0,05;0,06;13,6268;0,5;0,3
3;Site A9;[20-30];A;14;1;1476,8;4,2;0,3;1;0,06;0,05;14,768;0,5;0,3
4;Site A9;[0-10];B;14;2;821,6;3,8;0,3;2,4;0,07;0,11;19,7184;0,7;0,5
5;Site A9;[10-20];B;14;2;1489,4;3,8;0,3;1,2;0,06;0,06;17,8728;0,5;0,3
6;Site A9;[20-30];B;14;2;1507,6;3,9;0,3;0,5;0,05;0,04;7,538;0,5;0,3
7;Site A9;[0-10];C;14;3;977,5;4;0,3;1,6;0,06;0,08;15,64;0,7;0,5
8;Site A9;[10-20];C;14;3;1404,7;4,1;0,3;2,2;0,06;0,09;30,9034;0,5;0,3
9;Site A9;[20-30];C;14;3;1150,7;4,3;0,3;0,5;0,07;0,13;5,7535;0,5;0,3
10;Site A9;[0-10];D;14;4;925,8;3,8;0,3;1,8;0,07;0,08;16,6644;0,7;0,5
11;Site A9;[10-20];D;14;4;1404,7;4;0,3;1,2;0,06;0,06;16,8564;0,5;0,3
12;Site A9;[20-30];D;14;4;1476,8;4,2;0,3;0,5;0,06;0,05;7,384;0,5;0,3
13;Site 45;[0-10];E;19;1;942,1;3,7;0,14;1,6;0,07;0,09;15,0736;0,6;0,5
14;Site 45;[10-20];E;19;1;1631,1;4,4;0,14;0,4;0,06;0,04;6,5244;0,4;0,3
15;Site 45;[20-30];E;19;1;1655,5;4,4;0,14;0,3;0,05;0,03;4,9665;0,4;0,3
16;Site 45;[0-10];G;19;2;793,7;3,7;0,14;2,8;0,08;0,12;22,2236;0,6;0,5
17;Site 45;[10-20];G;19;2;1646;4,3;0,14;0,6;0,06;0,05;9,876;0,4;0,3
18;Site 45;[20-30];G;19;2;1653,1;4,7;0,14;0,2;0,06;0,03;3,3062;0,4;0,3
19;Site 45;[0-10];H;19;3;946,4;3,8;0,14;1,2;0,06;0,08;11,3568;0,6;0,5
20;Site 45;[10-20];H;19;3;1697,3;4,9;0,14;0,4;0,05;0,03;6,7892;0,4;0,3
21;Site 45;[20-30];H;19;3;1669,1;5,1;0,14;0,1;0,05;0,04;1,6691;0,4;0,3
22;Site 45;[0-10];I;19;4;942,1;3,7;0,14;1,6;0,07;0,09;15,0736;0,6;0,5
23;Site 45;[10-20];I;19;4;1646;4,4;0,14;0,4;0,06;0,04;6,584;0,4;0,3
24;Site 45;[20-30];I;19;4;1655,5;4,7;0,14;0,2;0,05;0,03;3,311;0,4;0,3
