ID pot;Time (days);Initial CO2 (ppm);Final CO2 (ppm);Time final (h);Sites;Depth (cm);Repetition;Temperature (°C);Pot weight (g);Soil weight (g);Water volume (ml);Water content (%);Bulk density (g/cm3);Carbone(%);pHCaCl2;Temperature (K);Total carbon (Mg/ha);Molar Volume (L/mol);Headspace Volume (mL);Dry soil weight (g);CO2 emission (ug/h/g);CO2 emission (mg/kg);CO2 emission (Mg/ha);K;lnK;1/T
6;7;546,312054549882;2158,818950365580;22,86;A9;10;1;10;244,81;110,32;42,1;10,3;0,89;1,8;3,8;283;16,02;23,2222272884283;126,044943820225;98,95704;4,64281588784886e-02;7,79993069158608865;6,94193831551162e-03;6,19176281739592e-05;-9,68970563410057;0,00353356890459364
6;14;494,429616724739;1871,178428888190;25,20;A9;10;1;10;244,81;110,32;42,1;10,3;0,89;1,8;3,8;283;16,02;23,2222272884283;126,044943820225;98,95704;3,59592211871230e-02;12,08229831887332395;1,07532455037973e-02;4,79617269368190e-05;-9,94510722059628;0,00353356890459364
6;21;500,971134282808;1923,293022026430;25,26;A9;10;1;10;244,81;110,32;42,1;10,3;0,89;1,8;3,8;283;16,02;23,2222272884283;126,044943820225;98,95704;3,70613004740878e-02;18,67889543894027327;1,66242169406568e-02;4,94407244634230e-05;-9,91473609153581;0,00353356890459364
6;35;532,797351156306;1522,628473019520;24,14;A9;10;1;10;244,81;110,32;42,1;10,3;0,89;1,8;3,8;283;16,02;23,2222272884283;126,044943820225;98,95704;2,69885744980055e-02;22,67040257832465855;2,01766582947089e-02;3,60074458515759e-05;-10,23178481168394;0,00353356890459364
6;49;547,539786780384;1668,884477611940;24,43;A9;10;1;10;244,81;110,32;42,1;10,3;0,89;1,8;3,8;283;16,02;23,2222272884283;126,044943820225;98,95704;3,02114640435738e-02;35,52868171524281848;3,16205267265661e-02;4,03217590215043e-05;-10,11861930862737;0,00353356890459364
6;63;538,196322682480;1632,888955249350;24,21;A9;10;1;10;244,81;110,32;42,1;10,3;0,89;1,8;3,8;283;16,02;23,2222272884283;126,044943820225;98,95704;2,97614107125384e-02;44,99925299735807727;4,00493351676487e-02;3,97315653009871e-05;-10,13336459044955;0,00353356890459364
6;77;575,913322019516;1124,114806958000;22,82;A9;10;1;10;244,81;110,32;42,1;10,3;0,89;1,8;3,8;283;16,02;23,2222272884283;126,044943820225;98,95704;1,58117767918205e-02;29,22016351128428013;2,60059455250430e-02;2,10994995493465e-05;-10,76626123580398;0,00353356890459364
6;91;591,109740555303;1727,468274920350;24,73;A9;10;1;10;244,81;110,32;42,1;10,3;0,89;1,8;3,8;283;16,02;23,2222272884283;126,044943820225;98,95704;3,02445668463964e-02;66,05413399252979900;5,87881792533515e-02;4,04002624480342e-05;-10,11667427677980;0,00353356890459364
6;105;449,187402926510;1474,092603402270;26,13;A9;10;1;10;244,81;110,32;42,1;10,3;0,89;1,8;3,8;283;16,02;23,2222272884283;126,044943820225;98,95704;2,58166801687653e-02;65,05803402528850654;5,79016502825068e-02;3,44845972808916e-05;-10,27499778924428;0,00353356890459364
18;7;543,393976783830;2603,322272215970;22,86;A9;10;2;10;246,04;124,93;27,5;24,9;0,89;2,4;3,8;283;21,36;23,2222272884283;109,629213483146;93,82243;5,44092667441244e-02;9,14075681301289045;8,13527356358147e-03;5,44196306647990e-05;-9,81878561138709;0,00353356890459364
